Date,Stock,Region,Price,Return,Temperature,Precipitation
2021-03-24,Indigo,East,1731.32421875,-2.210376574299666,29.7,0.0
2021-03-25,Indigo,East,1660.7435302734375,-4.076688104526205,29.9,0.0
2021-03-26,Indigo,East,1610.27880859375,-3.0386824190354433,29.2,0.0
2021-03-30,Indigo,East,1582.725341796875,-1.7110991369834516,31.4,0.0
2021-03-31,Indigo,East,1629.19677734375,2.936165506398969,32.1,0.0
2021-04-01,Indigo,East,1613.8726806640625,-0.9405921306002041,30.4,0.0
2021-04-05,Indigo,East,1550.0804443359375,-3.952742808799281,29.0,0.0
2021-04-06,Indigo,East,1574.9384765625,1.6036607853092244,29.0,0.0
2021-04-07,Indigo,East,1596.9512939453125,1.397693796322641,28.9,0.0
2021-04-08,Indigo,East,1637.98193359375,2.56931064860908,29.5,2.1
2021-04-09,Indigo,East,1644.1715087890625,0.3778781113740637,28.6,2.8
2021-04-12,Indigo,East,1591.1112060546875,-3.2271756596399137,29.9,1.5
2021-04-13,Indigo,East,1603.041015625,0.7497784897068094,30.5,0.7
2021-04-15,Indigo,East,1607.134033203125,0.2553283127649131,30.4,0.9
2021-04-16,Indigo,East,1580.2296142578125,-1.67406192573063,29.7,0.0
2021-04-19,Indigo,East,1525.3223876953125,-3.474635968538553,30.6,0.0
2021-04-20,Indigo,East,1551.6778564453125,1.727862185896445,30.4,1.7
2021-04-22,Indigo,East,1538.6998291015625,-0.8363867080942278,29.0,11.6
2021-04-23,Indigo,East,1539.248779296875,0.0356762368416641,29.5,0.0
2021-04-26,Indigo,East,1570.396240234375,2.023549497419652,31.5,0.0
2021-04-27,Indigo,East,1637.732421875,4.287846590270461,31.5,0.1
2021-04-28,Indigo,East,1644.7705078125,0.4297457779728342,31.1,0.4
2021-04-29,Indigo,East,1653.0565185546875,0.5037791413956993,30.7,0.0
2021-04-30,Indigo,East,1640.6275634765625,-0.7518772007258367,30.4,1.0
2021-05-03,Indigo,East,1663.43896484375,1.3904070536794544,29.4,0.0
2021-05-04,Indigo,East,1619.213623046875,-2.658669342943354,26.6,4.2
2021-05-05,Indigo,East,1646.5673828125,1.689323717160529,26.7,9.9
2021-05-06,Indigo,East,1660.14453125,0.8245729011289393,28.6,0.6
2021-05-07,Indigo,East,1637.8321533203125,-1.3440021341327157,29.2,2.1
2021-05-10,Indigo,East,1674.86962890625,2.26137186956874,28.4,12.3
2021-05-11,Indigo,East,1672.124267578125,-0.16391492691391063,27.4,23.2
2021-05-12,Indigo,East,1678.064208984375,0.3552332515844192,28.1,0.0
2021-05-14,Indigo,East,1691.890869140625,0.8239649044549102,29.0,4.6
2021-05-17,Indigo,East,1700.875732421875,0.5310545405220912,31.9,0.0
2021-05-18,Indigo,East,1711.80712890625,0.6426922482343667,32.1,0.1
2021-05-19,Indigo,East,1686.74951171875,-1.4638107742611428,31.7,0.9
2021-05-20,Indigo,East,1666.7833251953125,-1.1837078585007266,31.8,0.0
2021-05-21,Indigo,East,1689.6446533203125,1.3715836833393613,31.9,0.0
2021-05-24,Indigo,East,1680.260498046875,-0.5553922391312693,29.7,8.3
2021-05-25,Indigo,East,1716.1998291015625,2.138914239575551,28.2,9.9
2021-05-26,Indigo,East,1721.2413330078125,0.2937597254562885,27.1,11.9
2021-05-27,Indigo,East,1737.7633056640625,0.9598870500848511,28.4,19.8
2021-05-28,Indigo,East,1773.1036376953125,2.0336677564810834,29.9,1.3
2021-05-31,Indigo,East,1755.9326171875,-0.9684160667636665,29.7,24.4
