Date,Close,High,Low,Open,Volume
,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
2021-03-23,2149.39453125,2182.1783859269685,2145.807934172405,2173.028353758118,1970612
2021-03-24,2132.197265625,2161.9003417632807,2129.3924241269233,2149.3938424716484,1762743
2021-03-25,2057.203369140625,2135.32380540474,2051.6857365685196,2132.1972367524313,2495833
2021-03-26,2131.5537109375,2138.083000443011,2068.0090992665923,2073.7106090318234,1929236
2021-03-30,2205.90380859375,2212.5709488177436,2138.0828994186427,2138.0828994186427,3327203
2021-03-31,2236.02099609375,2242.5502855996892,2190.17856754483,2194.178941673735,2709756
2021-04-01,2206.225341796875,2250.090473218725,2199.7420790098367,2250.090473218725,1532653
2021-04-05,2182.407470703125,2222.870107938357,2157.85405164708,2207.052940103555,2545447
2021-04-06,2214.685546875,2217.168436347402,2186.2238069974496,2190.7758084490224,3683538
2021-04-07,2211.881103515625,2239.2393668269606,2195.4202550595746,2222.686468016741,1713970
2021-04-08,2216.1572265625,2242.917836682386,2203.0070473928945,2212.5708548822554,1814515
2021-04-09,2276.942626953125,2283.3798637821524,2229.1231533660643,2229.1231533660643,2604858
2021-04-12,2264.068603515625,2288.208246424758,2241.6303204834026,2245.2166919103975,2261945
2021-04-13,2257.079345703125,2304.4390225808465,2251.9296903038517,2271.425279378094,1811781
2021-04-15,2262.826904296875,2296.25464989857,2226.456690874267,2296.25464989857,3352379
2021-04-16,2261.217529296875,2279.6556616625726,2243.8370778027124,2271.3331882541825,1225517
2021-04-19,2240.756591796875,2261.9535429071598,2219.9736427609587,2243.837359944644,1746316
2021-04-20,2204.708251953125,2258.551201100209,2192.155726165919,2258.551201100209,1589508
2021-04-22,2160.520751953125,2197.856819529422,2144.519708427871,2197.856819529422,1721265
2021-04-23,2122.21923828125,2161.0725641689687,2115.0922968462246,2151.87651070442,1949756
2021-04-26,2170.86669921875,2179.2812245052746,2125.208374572432,2137.163246432857,1946867
2021-04-27,2188.523193359375,2194.5924548250214,2163.785671217204,2173.0277512021607,1668456
2021-04-28,2213.076171875,2248.434950633692,2176.062058679496,2188.660606342817,1951215
2021-04-29,2214.0419921875,2252.067539762248,2192.4770665184005,2237.399878923453,3151150
2021-04-30,2164.521240234375,2246.503972974839,2142.910513035009,2216.2490447009427,4010778
2021-05-03,2214.409423828125,2220.8466605252997,2151.8762673412843,2154.6350830686447,1692239
2021-05-04,2214.087646484375,2223.7895274586062,2181.4876829756786,2215.51307962499,1453111
2021-05-05,2202.133056640625,2238.3196201737965,2178.2233154226633,2238.3196201737965,1256857
2021-05-06,2197.85693359375,2222.272502172891,2185.948088416844,2207.052987709205,1377740
2021-05-07,2217.35302734375,2229.124024189282,2204.432523472543,2215.1460636596903,1169518
2021-05-10,2237.307861328125,2250.22836194754,2221.7666200576045,2228.2038577812814,988495
2021-05-11,2208.984130859375,2230.9626092158533,2201.7651389592156,2230.0430038534396,1019077
2021-05-12,2141.71533203125,2196.9376910174133,2138.1289601391313,2196.9376910174133,2053932
2021-05-14,2185.764404296875,2190.868035168969,2139.002375205663,2141.6691413282538,1388970
2021-05-17,2185.21240234375,2202.455004150776,2176.2462494040965,2193.2589498536954,811243
2021-05-18,2183.373291015625,2214.7319274034026,2176.6601261701207,2208.98439320572,1153722
2021-05-19,2170.038818359375,2188.660827500927,2155.5550334715012,2170.2687197068017,1323590
2021-05-20,2155.692626953125,2172.107671003635,2151.876354846954,2170.268460443937,856235
2021-05-21,2172.337646484375,2175.9240173930175,2151.8764283092128,2151.8764283092128,771492
2021-05-24,2148.703857421875,2170.2225321254314,2138.3122723932447,2165.670530689643,1194864
2021-05-25,2155.601318359375,2179.281159997357,2150.0376601787125,2165.670953687283,1098457
2021-05-26,2164.751220703125,2179.6487840313525,2156.7046730475804,2166.360530234234,811095
2021-05-27,2139.3701171875,2163.8317129702023,2136.151497979937,2163.8317129702023,3755182
2021-05-28,2135.048095703125,2161.072976880512,2132.8871574340847,2145.76163474316,1215325
2021-05-31,2151.922607421875,2156.474609135568,2133.6223257111574,2138.082501594966,1178704
2021-06-01,2168.705322265625,2173.0274224690743,2143.232299202765,2158.3137370016575,1141451
2021-06-02,2169.165283203125,2182.821288816127,2161.072710702991,2166.59034315585,1113091
2021-06-03,2173.257568359375,2180.4305357345133,2156.4747689845485,2178.545299669252,868532
2021-06-04,2153.76220703125,2179.465137057222,2146.3133123272182,2179.465137057222,1283795
2021-06-07,2151.233154296875,2164.751310013293,2143.6003838746756,2164.751310013293,1128300
2021-06-08,2169.34912109375,2172.1079372714867,2147.416442675528,2151.2329397625517,1106664
2021-06-09,2166.590576171875,2181.258239117285,2157.026768696885,2172.108209218153,1072858
2021-06-10,2187.5576171875,2207.007183786271,2165.900862671928,2173.947410829609,1944339
2021-06-11,2176.24609375,2196.523436927352,2170.2686588844285,2189.580371527044,1128097
2021-06-14,2190.233154296875,2199.95887838143,2164.2978900713942,2184.490164879758,1761632
2021-06-15,2215.56591796875,2218.3910541002247,2185.97197815304,2185.97197815304,1215463
2021-06-16,2230.340087890625,2240.4828099996,2207.8782957377607,2209.1288364775855,2153668
2021-06-17,2239.4169921875,2247.012272975136,2210.4250318046466,2221.1697297932656,1555777
2021-06-18,2299.80908203125,2312.5915053570707,2227.653574380543,2241.5474636178437,3937751
2021-06-21,2328.940185546875,2342.509793977499,2285.081716782321,2291.5191737565333,2506277
2021-06-22,2306.616943359375,2347.0944246552385,2298.6510238860487,2332.413352205121,1945883
2021-06-23,2297.586181640625,2328.6158680284343,2276.930554131086,2311.016941420423,1035668
2021-06-24,2306.5244140625,2320.094247952419,2291.6581337964762,2306.3855656280107,759681
2021-06-25,2268.084716796875,2306.339270647295,2264.703960848163,2304.533110261853,1112942
2021-06-28,2278.78271484375,2283.228803989767,2257.5714707708075,2269.4276331143574,694906
2021-06-29,2308.748046875,2313.332985943953,2264.704364617804,2273.966959156118,1354397
2021-06-30,2289.064697265625,2320.2795910474197,2281.376699700517,2308.747707768522,1447245
2021-07-01,2295.2705078125,2300.828063521489,2281.3766185400273,2300.828063521489,735043
2021-07-02,2303.884765625,2308.8864753107655,2271.1877676254007,2295.270509043941,860231
2021-07-05,2314.76806640625,2328.0597500566646,2301.8004377887746,2314.7217082194024,761700
2021-07-06,2290.176025390625,2313.749278382006,2286.9341179734897,2306.385562476302,461782
2021-07-07,2298.6513671875,2307.126775707618,2265.491464208337,2276.7454245704653,623145
2021-07-08,2267.066162109375,2287.6290748581196,2258.6371114028316,2280.635771399949,1114426
2021-07-09,2270.678466796875,2282.766196693423,2258.6370950959154,2260.0728423339224,538094
2021-07-12,2263.91650390625,2278.5050874061126,2250.810025693126,2272.113988899275,543898
2021-07-13,2257.015869140625,2274.475946457303,2250.8099773934214,2273.966458642325,994396
2021-07-14,2236.777099609375,2261.3229681902767,2231.3583928827425,2259.8872212155925,1377829
2021-07-15,2234.4619140625,2246.1790048078196,2223.9487796055982,2246.1790048078196,693792
2021-07-16,2239.138671875,2250.80962706291,2228.579408524017,2241.5470360050376,545405
2021-07-19,2231.0341796875,2238.768534629119,2221.6327390599677,2223.0684860783977,463873
2021-07-20,2255.348876953125,2278.598077877544,2225.801293146235,2225.801293146235,1061476
2021-07-22,2202.783203125,2323.05804944963,2200.328706725517,2269.335016408131,3546044
2021-07-23,2184.212158203125,2215.380693370321,2181.062740882705,2206.349665143976,1517589
2021-07-26,2175.505126953125,2185.971902050617,2165.5941978789588,2183.4246890291597,1311535
2021-07-27,2169.669677734375,2185.462443909467,2160.0366715410023,2175.5051565084955,1656945
2021-07-28,2187.2685546875,2193.798727783325,2170.3181909180407,2176.70928944054,912373
2021-07-29,2162.583984375,2196.531298578877,2158.1842525297143,2187.26870522038,1012663
2021-07-30,2161.240966796875,2182.7764964872226,2147.0691536441072,2167.446859157554,1708251
2021-08-02,2160.77783203125,2179.8586387390574,2153.182550676199,2169.299372725637,1229936
2021-08-03,2210.842529296875,2216.538934641281,2154.572265912229,2158.184587427574,1733476
2021-08-04,2201.811279296875,2218.1596670224376,2192.9654569234995,2210.8423083201424,1588974
2021-08-05,2183.841552734375,2214.686033306552,2180.41443847914,2214.686033306552,921757
2021-08-06,2196.6240234375,2205.1919223271466,2183.6563926856024,2183.84159932598,1432661
2021-08-09,2208.6650390625,2218.3907605597346,2199.726728331945,2203.9873849244254,921476
2021-08-10,2206.164306640625,2217.464624159466,2185.1382670859966,2217.464624159466,1061370
2021-08-11,2214.176513671875,2218.3910387433393,2188.0096882670737,2213.759742211516,1300594
2021-08-12,2215.890380859375,2235.5270346727034,2202.135338481883,2218.391235981406,1226064
2021-08-13,2227.1904296875,2231.960574505061,2211.9071516297568,2223.948522220706,1033159
2021-08-16,2247.475341796875,2257.154931817926,2216.2140922755675,2226.727225162182,1146309
2021-08-17,2300.642822265625,2304.023578149369,2251.782645726145,2253.588806076878,1921902
2021-08-18,2302.72705078125,2315.648323197184,2273.0403940503556,2301.754433258001,1545643
2021-08-20,2426.243408203125,2436.061846785861,2293.4179211565743,2306.3855507592366,5779927
2021-08-23,2439.90576171875,2475.752176320514,2403.1796721769115,2431.4305798667924,2163220
2021-08-24,2438.8408203125,2461.997303604491,2417.5368556838685,2439.76707964418,1482854
2021-08-25,2449.955810546875,2469.8240269965845,2427.401306486265,2437.914439833412,1746570
2021-08-26,2469.77783203125,2498.8625112053965,2436.988341607171,2436.988341607171,2117291
2021-08-27,2480.476318359375,2491.6377893719896,2455.606389118247,2472.186341945666,1176229
2021-08-30,2489.507080078125,2506.2261057021647,2474.5944410025118,2493.1196270374535,1168190
2021-08-31,2523.22314453125,2535.5885709690333,2478.3456988475396,2489.692375699503,2535891
2021-09-01,2531.3740234375,2570.369631545875,2514.794071944883,2542.581851745379,1775792
2021-09-02,2594.49853515625,2602.788510272855,2528.8266182003094,2545.3604363807135,1946183
2021-09-03,2562.681396484375,2601.6306427904124,2552.77046783458,2595.5635995352195,1561823
2021-09-06,2575.556640625,2616.6824621413466,2570.6474212207354,2584.2633873891527,1444978
2021-09-07,2572.87109375,2601.5851396542744,2565.738940478713,2582.9674584763115,1219915
